Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA20,SMA50,EMA20,signal,signal_change
2025-07-09 00:00:00+05:30,1001.0089360727129,1004.4005203490875,996.5699704674603,1003.1036987304688,13861428,0.0,0.0,978.2771270751953,966.8845289276867,983.3798802583028,1,0.0
2025-07-10 00:00:00+05:30,1005.4977851253348,1005.9965439473215,997.5176439735463,1000.6099243164062,17030310,0.0,0.0,980.3705871582031,967.6875145321801,985.0208368352651,1,0.0
2025-07-11 00:00:00+05:30,996.5201541247731,999.9117385623401,987.9913902076418,989.3878784179688,12516922,0.0,0.0,982.5393432617187,968.1921741574309,985.4367455574273,1,0.0
2025-07-14 00:00:00+05:30,989.0387573242188,991.8816582943851,982.8541356715338,989.0387573242188,13088850,0.0,0.0,984.251577758789,968.6659601384944,985.7797942971218,1,0.0
2025-07-15 00:00:00+05:30,984.0511806165923,999.3131887778599,984.0511806165923,995.2732543945312,14498168,0.0,0.0,986.418603515625,969.257233344184,986.683933354018,1,0.0
2025-07-16 00:00:00+05:30,1006.4952830829005,1008.8394251469304,993.826797075495,995.6722412109375,17994612,0.0,0.0,988.49951171875,969.8314726456352,987.5399626737246,1,0.0
2025-07-17 00:00:00+05:30,999.5126501495852,999.9116815490105,988.8890631972324,990.98388671875,22529158,0.0,0.0,990.3114685058594,970.2815240088929,987.8679554399175,1,0.0
2025-07-18 00:00:00+05:30,990.9838927216935,996.0213445308241,974.0759568696542,976.2705078125,16129446,0.0,0.0,990.6625610351563,970.4062945048014,986.7634366182588,1,0.0
2025-07-21 00:00:00+05:30,986.6446826643673,998.5151670456409,985.7968170158388,997.7670288085938,22309078,0.0,0.0,992.4905426025391,970.9646768375319,987.8113977792431,1,0.0
2025-07-22 00:00:00+05:30,1004.051390877723,1006.4953213272488,999.0139388595042,1001.058837890625,14836814,0.0,0.0,994.1747833251953,971.5665600585937,989.0730587422318,1,0.0
